track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P2,248,24800,pedestrian/bicycle,971.687,1008.646,3.318,-0.48
P2,249,24900,pedestrian/bicycle,972.019,1008.601,3.332,-0.425
P2,250,25000,pedestrian/bicycle,972.354,1008.561,3.35,-0.367
P2,251,25100,pedestrian/bicycle,972.69,1008.527,3.373,-0.305
P2,252,25200,pedestrian/bicycle,973.028,1008.5,3.403,-0.24
P2,253,25300,pedestrian/bicycle,973.37,1008.479,3.435,-0.174
P2,254,25400,pedestrian/bicycle,973.715,1008.465,3.456,-0.106
P2,255,25500,pedestrian/bicycle,974.061,1008.458,3.463,-0.039
P2,256,25600,pedestrian/bicycle,974.407,1008.457,3.455,0.026
P2,257,25700,pedestrian/bicycle,974.751,1008.463,3.435,0.091
P2,258,25800,pedestrian/bicycle,975.093,1008.476,3.41,0.158
P2,259,25900,pedestrian/bicycle,975.433,1008.495,3.387,0.228
P2,260,26000,pedestrian/bicycle,975.771,1008.521,3.366,0.301
P2,261,26100,pedestrian/bicycle,976.107,1008.555,3.352,0.378
P2,262,26200,pedestrian/bicycle,976.442,1008.597,3.346,0.46
P2,263,26300,pedestrian/bicycle,976.776,1008.647,3.346,0.543
P2,264,26400,pedestrian/bicycle,977.111,1008.706,3.348,0.626
P2,265,26500,pedestrian/bicycle,977.446,1008.772,3.348,0.706
P2,266,26600,pedestrian/bicycle,977.78,1008.847,3.343,0.782
P2,267,26700,pedestrian/bicycle,978.115,1008.929,3.338,0.854
P2,268,26800,pedestrian/bicycle,978.448,1009.017,3.335,0.917
P2,269,26900,pedestrian/bicycle,978.782,1009.111,3.338,0.968
P2,270,27000,pedestrian/bicycle,979.116,1009.21,3.345,1.004
P2,271,27100,pedestrian/bicycle,979.451,1009.311,3.348,1.026
P2,272,27200,pedestrian/bicycle,979.785,1009.414,3.343,1.031
P2,273,27300,pedestrian/bicycle,980.119,1009.517,3.332,1.02
P2,274,27400,pedestrian/bicycle,980.451,1009.618,3.316,0.994
P2,275,27500,pedestrian/bicycle,980.782,1009.715,3.296,0.951
P2,276,27600,pedestrian/bicycle,981.111,1009.807,3.275,0.897
P2,277,27700,pedestrian/bicycle,981.437,1009.894,3.258,0.835
P2,278,27800,pedestrian/bicycle,981.763,1009.974,3.251,0.77
P2,279,27900,pedestrian/bicycle,982.088,1010.048,3.261,0.705
P2,280,28000,pedestrian/bicycle,982.416,1010.115,3.293,0.646
P2,281,28100,pedestrian/bicycle,982.748,1010.177,3.35,0.597
P2,282,28200,pedestrian/bicycle,983.087,1010.236,3.433,0.565
P2,283,28300,pedestrian/bicycle,983.435,1010.291,3.524,0.552
P2,284,28400,pedestrian/bicycle,983.791,1010.347,3.601,0.555
P2,285,28500,pedestrian/bicycle,984.155,1010.404,3.66,0.579
P2,286,28600,pedestrian/bicycle,984.523,1010.463,3.702,0.621
P2,287,28700,pedestrian/bicycle,984.894,1010.529,3.73,0.685
P2,288,28800,pedestrian/bicycle,985.268,1010.602,3.755,0.772
P2,289,28900,pedestrian/bicycle,985.645,1010.684,3.777,0.879
P2,290,29000,pedestrian/bicycle,986.023,1010.778,3.789,0.996
P2,291,29100,pedestrian/bicycle,986.401,1010.883,3.772,1.111
P2,292,29200,pedestrian/bicycle,986.776,1011,3.725,1.222
P2,293,29300,pedestrian/bicycle,987.146,1011.128,3.661,1.34
P2,294,29400,pedestrian/bicycle,987.508,1011.269,3.591,1.472
P2,295,29500,pedestrian/bicycle,987.864,1011.423,3.517,1.615
P2,296,29600,pedestrian/bicycle,988.211,1011.592,3.434,1.765
P2,297,29700,pedestrian/bicycle,988.55,1011.777,3.344,1.924
P2,298,29800,pedestrian/bicycle,988.88,1011.977,3.252,2.09
P2,299,29900,pedestrian/bicycle,989.2,1012.194,3.148,2.254
P2,300,30000,pedestrian/bicycle,989.509,1012.428,3.029,2.417
P2,301,30100,pedestrian/bicycle,989.805,1012.678,2.9,2.59
P2,302,30200,pedestrian/bicycle,990.089,1012.946,2.764,2.767
P2,303,30300,pedestrian/bicycle,990.358,1013.232,2.62,2.939
P2,304,30400,pedestrian/bicycle,990.612,1013.533,2.463,3.094
P2,305,30500,pedestrian/bicycle,990.85,1013.849,2.294,3.231
P2,306,30600,pedestrian/bicycle,991.07,1014.179,2.12,3.352
P2,307,30700,pedestrian/bicycle,991.274,1014.52,1.953,3.469
P2,308,30800,pedestrian/bicycle,991.462,1014.872,1.805,3.583
P2,309,30900,pedestrian/bicycle,991.636,1015.236,1.685,3.69
P2,310,31000,pedestrian/bicycle,991.801,1015.61,1.597,3.787
P2,311,31100,pedestrian/bicycle,991.958,1015.993,1.544,3.871
P2,312,31200,pedestrian/bicycle,992.111,1016.383,1.523,3.938
P2,313,31300,pedestrian/bicycle,992.264,1016.779,1.529,3.984
P2,314,31400,pedestrian/bicycle,992.418,1017.179,1.562,4.006
P2,315,31500,pedestrian/bicycle,992.577,1017.579,1.619,4.004
P2,316,31600,pedestrian/bicycle,992.743,1017.979,1.695,3.984
P2,317,31700,pedestrian/bicycle,992.917,1018.375,1.783,3.954
P2,318,31800,pedestrian/bicycle,993.1,1018.769,1.877,3.917
P2,319,31900,pedestrian/bicycle,993.292,1019.159,1.973,3.875
P2,320,32000,pedestrian/bicycle,993.494,1019.544,2.064,3.83
P2,321,32100,pedestrian/bicycle,993.704,1019.924,2.143,3.784
P2,322,32200,pedestrian/bicycle,993.922,1020.3,2.207,3.736
P2,323,32300,pedestrian/bicycle,994.145,1020.672,2.255,3.689
P2,324,32400,pedestrian/bicycle,994.372,1021.038,2.289,3.643
P2,325,32500,pedestrian/bicycle,994.602,1021.4,2.308,3.595
P2,326,32600,pedestrian/bicycle,994.833,1021.757,2.313,3.546
P2,327,32700,pedestrian/bicycle,995.064,1022.109,2.309,3.495
P2,328,32800,pedestrian/bicycle,995.294,1022.456,2.295,3.435
P2,329,32900,pedestrian/bicycle,995.523,1022.796,2.268,3.358
P2,330,33000,pedestrian/bicycle,995.748,1023.126,2.229,3.26
P2,331,33100,pedestrian/bicycle,995.968,1023.446,2.175,3.14
P2,332,33200,pedestrian/bicycle,996.182,1023.754,2.106,3.003
P2,333,33300,pedestrian/bicycle,996.388,1024.046,2.026,2.851
P2,334,33400,pedestrian/bicycle,996.586,1024.323,1.935,2.691
P2,335,33500,pedestrian/bicycle,996.775,1024.585,1.846,2.543
P2,336,33600,pedestrian/bicycle,996.957,1024.834,1.776,2.432
P2,337,33700,pedestrian/bicycle,997.132,1025.074,1.736,2.371
P2,338,33800,pedestrian/bicycle,997.305,1025.31,1.724,2.354
P6,1202,120200,pedestrian/bicycle,967.197,991.036,4.045,-1.079
P6,1203,120300,pedestrian/bicycle,967.595,990.931,3.91,-1.031
P6,1204,120400,pedestrian/bicycle,967.98,990.83,3.779,-0.984
P6,1205,120500,pedestrian/bicycle,968.351,990.734,3.661,-0.939
P6,1206,120600,pedestrian/bicycle,968.713,990.642,3.565,-0.899
P6,1207,120700,pedestrian/bicycle,969.066,990.554,3.498,-0.863
P6,1208,120800,pedestrian/bicycle,969.413,990.469,3.445,-0.83
P6,1209,120900,pedestrian/bicycle,969.755,990.388,3.392,-0.797
P6,1210,121000,pedestrian/bicycle,970.091,990.31,3.337,-0.766
P6,1211,121100,pedestrian/bicycle,970.423,990.235,3.289,-0.74
P6,1212,121200,pedestrian/bicycle,970.749,990.162,3.247,-0.719
P6,1213,121300,pedestrian/bicycle,971.071,990.091,3.191,-0.699
P6,1214,121400,pedestrian/bicycle,971.387,990.022,3.118,-0.679
P6,1215,121500,pedestrian/bicycle,971.695,989.955,3.04,-0.664
P6,1216,121600,pedestrian/bicycle,971.996,989.889,2.98,-0.66
P6,1217,121700,pedestrian/bicycle,972.293,989.822,2.964,-0.677
P6,1218,121800,pedestrian/bicycle,972.592,989.752,3.014,-0.719
P6,1219,121900,pedestrian/bicycle,972.899,989.677,3.127,-0.79
P6,1220,122000,pedestrian/bicycle,973.219,989.593,3.278,-0.885
P6,1221,122100,pedestrian/bicycle,973.555,989.499,3.444,-0.998
P6,1222,122200,pedestrian/bicycle,973.908,989.393,3.614,-1.122
P6,1223,122300,pedestrian/bicycle,974.277,989.274,3.773,-1.247
P6,1224,122400,pedestrian/bicycle,974.661,989.144,3.907,-1.363
P6,1225,122500,pedestrian/bicycle,975.056,989.002,3.996,-1.461
P6,1226,122600,pedestrian/bicycle,975.457,988.853,4.018,-1.527
P6,1227,122700,pedestrian/bicycle,975.857,988.699,3.971,-1.561
P6,1228,122800,pedestrian/bicycle,976.249,988.542,3.871,-1.57
P6,1229,122900,pedestrian/bicycle,976.629,988.385,3.734,-1.559
P6,1230,123000,pedestrian/bicycle,976.994,988.231,3.574,-1.532
P6,1231,123100,pedestrian/bicycle,977.343,988.08,3.397,-1.493
P6,1232,123200,pedestrian/bicycle,977.674,987.933,3.215,-1.447
P6,1233,123300,pedestrian/bicycle,977.986,987.791,3.042,-1.396
P6,1234,123400,pedestrian/bicycle,978.283,987.654,2.88,-1.341
P6,1235,123500,pedestrian/bicycle,978.563,987.523,2.725,-1.283
P6,1236,123600,pedestrian/bicycle,978.828,987.397,2.576,-1.222
P6,1237,123700,pedestrian/bicycle,979.078,987.278,2.433,-1.163
P6,1238,123800,pedestrian/bicycle,979.315,987.164,2.303,-1.112
P6,1239,123900,pedestrian/bicycle,979.54,987.054,2.203,-1.082
P6,1240,124000,pedestrian/bicycle,979.758,986.946,2.148,-1.084
P6,1241,124100,pedestrian/bicycle,979.972,986.836,2.141,-1.118
P6,1242,124200,pedestrian/bicycle,980.188,986.721,2.161,-1.174
P6,1243,124300,pedestrian/bicycle,980.405,986.601,2.189,-1.242
P6,1244,124400,pedestrian/bicycle,980.626,986.472,2.229,-1.325
P6,1245,124500,pedestrian/bicycle,980.851,986.335,2.28,-1.424
P6,1246,124600,pedestrian/bicycle,981.082,986.187,2.335,-1.532
P6,1247,124700,pedestrian/bicycle,981.319,986.028,2.396,-1.651
P6,1248,124800,pedestrian/bicycle,981.562,985.856,2.467,-1.783
P6,1249,124900,pedestrian/bicycle,981.812,985.671,2.535,-1.919
P6,1250,125000,pedestrian/bicycle,982.068,985.473,2.584,-2.039
P6,1251,125100,pedestrian/bicycle,982.328,985.264,2.616,-2.14
P6,1252,125200,pedestrian/bicycle,982.59,985.046,2.638,-2.227
P6,1253,125300,pedestrian/bicycle,982.854,984.82,2.642,-2.296
P6,1254,125400,pedestrian/bicycle,983.118,984.588,2.631,-2.344
P6,1255,125500,pedestrian/bicycle,983.38,984.352,2.61,-2.363
P6,1256,125600,pedestrian/bicycle,983.64,984.117,2.591,-2.356
P6,1257,125700,pedestrian/bicycle,983.899,983.882,2.584,-2.33
P6,1258,125800,pedestrian/bicycle,984.158,983.651,2.597,-2.286
P6,1259,125900,pedestrian/bicycle,984.42,983.425,2.645,-2.24
P6,1260,126000,pedestrian/bicycle,984.689,983.203,2.726,-2.194
P6,1261,126100,pedestrian/bicycle,984.966,982.987,2.829,-2.142
P6,1262,126200,pedestrian/bicycle,985.255,982.776,2.937,-2.073
P6,1263,126300,pedestrian/bicycle,985.553,982.573,3.025,-1.978
P6,1264,126400,pedestrian/bicycle,985.858,982.381,3.089,-1.862
P6,1265,126500,pedestrian/bicycle,986.17,982.201,3.132,-1.738
P6,1266,126600,pedestrian/bicycle,986.484,982.034,3.163,-1.616
P6,1267,126700,pedestrian/bicycle,986.802,981.878,3.193,-1.506
P6,1268,126800,pedestrian/bicycle,987.123,981.732,3.223,-1.403
P6,1269,126900,pedestrian/bicycle,987.447,981.597,3.248,-1.303
P6,1270,127000,pedestrian/bicycle,987.772,981.472,3.259,-1.196
P6,1271,127100,pedestrian/bicycle,988.098,981.358,3.255,-1.078
P6,1272,127200,pedestrian/bicycle,988.422,981.257,3.231,-0.95
P6,1273,127300,pedestrian/bicycle,988.743,981.169,3.195,-0.816
P6,1274,127400,pedestrian/bicycle,989.062,981.094,3.172,-0.684
P6,1275,127500,pedestrian/bicycle,989.379,981.031,3.181,-0.561
P6,1276,127600,pedestrian/bicycle,989.699,980.981,3.212,-0.447
P6,1277,127700,pedestrian/bicycle,990.022,980.941,3.254,-0.344
P6,1278,127800,pedestrian/bicycle,990.35,980.911,3.303,-0.257
P6,1279,127900,pedestrian/bicycle,990.682,980.889,3.339,-0.186
P6,1280,128000,pedestrian/bicycle,991.017,980.873,3.361,-0.13
P6,1281,128100,pedestrian/bicycle,991.354,980.863,3.372,-0.083
P6,1282,128200,pedestrian/bicycle,991.69,980.857,3.351,-0.041
P6,1283,128300,pedestrian/bicycle,992.022,980.854,3.295,-0.001
P6,1284,128400,pedestrian/bicycle,992.347,980.856,3.202,0.035
P6,1285,128500,pedestrian/bicycle,992.661,980.861,3.072,0.068
P6,1286,128600,pedestrian/bicycle,992.96,980.869,2.915,0.095
P6,1287,128700,pedestrian/bicycle,993.244,980.88,2.759,0.118
P6,1288,128800,pedestrian/bicycle,993.514,980.893,2.635,0.137
P6,1289,128900,pedestrian/bicycle,993.773,980.907,2.549,0.15
P6,1290,129000,pedestrian/bicycle,994.026,980.922,2.515,0.153
P6,1291,129100,pedestrian/bicycle,994.278,980.937,2.531,0.143
P6,1292,129200,pedestrian/bicycle,994.534,980.95,2.585,0.121
P6,1293,129300,pedestrian/bicycle,994.797,980.961,2.665,0.087
P6,1294,129400,pedestrian/bicycle,995.068,980.968,2.757,0.046
P6,1295,129500,pedestrian/bicycle,995.349,980.97,2.862,-0.001
P6,1296,129600,pedestrian/bicycle,995.641,980.967,2.991,-0.053
P6,1297,129700,pedestrian/bicycle,995.948,980.959,3.149,-0.11
P6,1298,129800,pedestrian/bicycle,996.272,980.945,3.332,-0.172
P6,1299,129900,pedestrian/bicycle,996.615,980.924,3.528,-0.236
P6,1300,130000,pedestrian/bicycle,996.978,980.898,3.72,-0.301
P6,1301,130100,pedestrian/bicycle,997.358,980.864,3.89,-0.364
P6,1302,130200,pedestrian/bicycle,997.753,980.825,4.016,-0.42
P6,1303,130300,pedestrian/bicycle,998.158,980.781,4.074,-0.464
P6,1304,130400,pedestrian/bicycle,998.563,980.733,4.026,-0.489
P6,1305,130500,pedestrian/bicycle,998.959,980.684,3.891,-0.496
P6,1306,130600,pedestrian/bicycle,999.34,980.635,3.737,-0.493
P6,1307,130700,pedestrian/bicycle,999.708,980.585,3.611,-0.489
P6,1308,130800,pedestrian/bicycle,1000.066,980.537,3.55,-0.488
P6,1309,130900,pedestrian/bicycle,1000.42,980.488,3.533,-0.491
P6,1310,131000,pedestrian/bicycle,1000.77,980.439,3.48,-0.483
P6,1311,131100,pedestrian/bicycle,1001.113,980.392,3.372,-0.458
P6,1312,131200,pedestrian/bicycle,1001.444,980.348,3.24,-0.424
P6,1313,131300,pedestrian/bicycle,1001.761,980.307,3.099,-0.382
P6,1314,131400,pedestrian/bicycle,1002.063,980.272,2.953,-0.333
P6,1315,131500,pedestrian/bicycle,1002.351,980.241,2.806,-0.28
P6,1316,131600,pedestrian/bicycle,1002.625,980.216,2.664,-0.225
P6,1317,131700,pedestrian/bicycle,1002.884,980.196,2.529,-0.168
P6,1318,131800,pedestrian/bicycle,1003.131,980.182,2.405,-0.11
P6,1319,131900,pedestrian/bicycle,1003.366,980.174,2.3,-0.057
P6,1320,132000,pedestrian/bicycle,1003.592,980.17,2.215,-0.016
P6,1321,132100,pedestrian/bicycle,1003.81,980.17,2.153,0.013
P6,1322,132200,pedestrian/bicycle,1004.024,980.172,2.123,0.031
P6,1323,132300,pedestrian/bicycle,1004.237,980.176,2.138,0.038
P6,1324,132400,pedestrian/bicycle,1004.454,980.179,2.195,0.037
P6,1325,132500,pedestrian/bicycle,1004.677,980.183,2.261,0.026
P6,1326,132600,pedestrian/bicycle,1004.905,980.184,2.307,0.006
P6,1327,132700,pedestrian/bicycle,1005.137,980.183,2.329,-0.02
P6,1328,132800,pedestrian/bicycle,1005.37,980.18,2.336,-0.047
P6,1329,132900,pedestrian/bicycle,1005.605,980.174,2.352,-0.075
P6,1330,133000,pedestrian/bicycle,1005.841,980.165,2.384,-0.103
P6,1331,133100,pedestrian/bicycle,1006.082,980.154,2.419,-0.126
P6,1332,133200,pedestrian/bicycle,1006.326,980.14,2.469,-0.144
P6,1333,133300,pedestrian/bicycle,1006.578,980.125,2.562,-0.162
P6,1334,133400,pedestrian/bicycle,1006.84,980.108,2.695,-0.179
P6,1335,133500,pedestrian/bicycle,1007.118,980.089,2.851,-0.194
P6,1336,133600,pedestrian/bicycle,1007.41,980.069,2.987,-0.205
P6,1337,133700,pedestrian/bicycle,1007.711,980.049,3.04,-0.21
P6,1338,133800,pedestrian/bicycle,1008.012,980.028,2.978,-0.207
P6,1339,133900,pedestrian/bicycle,1008.301,980.007,2.805,-0.197
P6,1340,134000,pedestrian/bicycle,1008.569,979.989,2.555,-0.179
P6,1341,134100,pedestrian/bicycle,1008.811,979.972,2.283,-0.152
P6,1342,134200,pedestrian/bicycle,1009.028,979.959,2.05,-0.115
P6,1343,134300,pedestrian/bicycle,1009.226,979.949,1.919,-0.082
P6,1344,134400,pedestrian/bicycle,1009.417,979.942,1.904,-0.063
P6,1345,134500,pedestrian/bicycle,1009.611,979.936,1.969,-0.051
P6,1346,134600,pedestrian/bicycle,1009.813,979.931,2.079,-0.042
P6,1347,134700,pedestrian/bicycle,1010.028,979.927,2.219,-0.035
P6,1348,134800,pedestrian/bicycle,1010.258,979.924,2.377,-0.028
P6,1349,134900,pedestrian/bicycle,1010.504,979.922,2.546,-0.022
P6,1350,135000,pedestrian/bicycle,1010.768,979.92,2.73,-0.017
P6,1351,135100,pedestrian/bicycle,1011.051,979.918,2.929,-0.013
P6,1352,135200,pedestrian/bicycle,1011.354,979.917,3.138,-0.013
P6,1353,135300,pedestrian/bicycle,1011.678,979.915,3.342,-0.02
P6,1354,135400,pedestrian/bicycle,1012.021,979.913,3.52,-0.035
P6,1355,135500,pedestrian/bicycle,1012.379,979.908,3.637,-0.054
P6,1356,135600,pedestrian/bicycle,1012.744,979.902,3.662,-0.073
P6,1357,135700,pedestrian/bicycle,1013.107,979.894,3.589,-0.089
P6,1358,135800,pedestrian/bicycle,1013.458,979.884,3.442,-0.102
P6,1359,135900,pedestrian/bicycle,1013.794,979.873,3.277,-0.118
P6,1360,136000,pedestrian/bicycle,1014.116,979.86,3.15,-0.14
P6,1361,136100,pedestrian/bicycle,1014.427,979.845,3.071,-0.163
P6,1362,136200,pedestrian/bicycle,1014.732,979.827,3.028,-0.192
P6,1363,136300,pedestrian/bicycle,1015.033,979.806,3.003,-0.237
P6,1364,136400,pedestrian/bicycle,1015.332,979.78,2.976,-0.291
P6,1365,136500,pedestrian/bicycle,1015.628,979.748,2.932,-0.332
